x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
5.323446893787575542e-04,-1.114736873143879062e-78,-3.118016540737335811e-69,4.926802150687559381e-31,5.700597675243544242e-14,2.252447766408051270e+12,5.067799746968750080e+18,3.327895003889312768e+18
5.339378757515030613e-04,-1.069796213469097695e-78,-3.038731458020039151e-69,4.883671495299669822e-31,5.634168867360947103e-14,2.232732577647671387e+12,5.037948039756759040e+18,3.308457416917345792e+18
5.355310621242485684e-04,-1.025735746238493277e-78,-2.961461103625357860e-69,4.840783344694967225e-31,5.568438420439095940e-14,2.213141606725612305e+12,5.008094963161055232e+18,3.289018793361843712e+18
5.371242484969939671e-04,-9.825438609841736816e-79,-2.886154241867170993e-69,4.798136543902925328e-31,5.503398376726541117e-14,2.193673760220424316e+12,4.978240525863818240e+18,3.269579139363112960e+18
5.387174348697394742e-04,-9.402090844008669512e-79,-2.812760939032059245e-69,4.755729925589746876e-31,5.439040859430373448e-14,2.174327951638118896e+12,4.948384736546105344e+18,3.250138461063229440e+18
5.403106212424849814e-04,-8.987200787774170372e-79,-2.741232530268654823e-69,4.713562310376039734e-31,5.375358071808032627e-14,2.155103101348724854e+12,4.918527603884090368e+18,3.230696764603399680e+18
5.419038076152304885e-04,-8.580656404439510038e-79,-2.671521587318273645e-69,4.671632507148618056e-31,5.312342296268026613e-14,2.135998136527406250e+12,4.888669136552805376e+18,3.211254056126678016e+18
5.434969939879759956e-04,-8.182346982346046799e-79,-2.603581887065587953e-69,4.629939313366565138e-31,5.249985893479635210e-14,2.117011991093450195e+12,4.858809343223472128e+18,3.191810341775284736e+18
5.450901803607215027e-04,-7.792163119656213465e-79,-2.537368380888394435e-69,4.588481515361616633e-31,5.188281301491373777e-14,2.098143605648888428e+12,4.828948232564355072e+18,3.172365627692888576e+18
5.466833667334670098e-04,-7.409996709286627426e-79,-2.472837164786188775e-69,4.547257888632971853e-31,5.127221034858207626e-14,2.079391927420659424e+12,4.799085813239898112e+18,3.152919920024019456e+18
5.482765531062124085e-04,-7.035740923991656741e-79,-2.409945450267739322e-69,4.506267198136555049e-31,5.066797683777366884e-14,2.060755910199419678e+12,4.769222093912594432e+18,3.133473224912957952e+18
5.498697394789579156e-04,-6.669290201595679279e-79,-2.348651535978317952e-69,4.465508198568842291e-31,5.007003913232666551e-14,2.042234514281357666e+12,4.739357083242788864e+18,3.114025548504507392e+18
5.514629258517034227e-04,-6.310540230372947838e-79,-2.288914780047865662e-69,4.424979634645389676e-31,4.947832462147310906e-14,2.023826706409908936e+12,4.709490789884521472e+18,3.094576896944745984e+18
5.530561122244489298e-04,-5.959387934572695403e-79,-2.230695573141629923e-69,4.384680241374008583e-31,4.889276142544953816e-14,2.005531459715688721e+12,4.679623222490390528e+18,3.075127276379918848e+18
5.546492985971944369e-04,-5.615731460088606820e-79,-2.173955312195507729e-69,4.344608744322791154e-31,4.831327838719049034e-14,1.987347753660956055e+12,4.649754389711085568e+18,3.055676692956738560e+18
5.562424849699399440e-04,-5.279470160270644592e-79,-2.118656374818627695e-69,4.304763859882972869e-31,4.773980506410322597e-14,1.969274573979459717e+12,4.619884300191844352e+18,3.036225152822752768e+18
5.578356713426853427e-04,-4.950504581877944001e-79,-2.064762094346228236e-69,4.265144295526785473e-31,4.717227171992321280e-14,1.951310912621349854e+12,4.590012962578831872e+18,3.016772662126196736e+18
5.594288577154308498e-04,-4.628736451170989366e-79,-2.012236735526229691e-69,4.225748750060263482e-31,4.661060931664867317e-14,1.933455767695755371e+12,4.560140385511454720e+18,2.997319227014363136e+18
5.610220440881763570e-04,-4.314068660141965232e-79,-1.961045470823495087e-69,4.186575913871241605e-31,4.605474950655509025e-14,1.915708143413441895e+12,4.530266577626361344e+18,2.977864853636739584e+18
5.626152304609218641e-04,-4.006405252881218040e-79,-1.911154357325898284e-69,4.147624469172401207e-31,4.550462462428597498e-14,1.898067050030148926e+12,4.500391547560438272e+18,2.958409548143226368e+18
5.642084168336673712e-04,-3.705651412078813752e-79,-1.862530314237065450e-69,4.108893090239647816e-31,4.496016767902188808e-14,1.880531503792373779e+12,4.470515303946680320e+18,2.938953316683646464e+18
5.658016032064128783e-04,-3.411713445659471566e-79,-1.815141100940728342e-69,4.070380443645743486e-31,4.442131234672484553e-14,1.863100526881052002e+12,4.440637855415157248e+18,2.919496165407547392e+18
5.673947895791583854e-04,-3.124498773549452887e-79,-1.768955295622211654e-69,4.032085188489317501e-31,4.388799296245824018e-14,1.845773147356484375e+12,4.410759210593474560e+18,2.900038100466872320e+18
5.689879759519037841e-04,-2.843915914574003901e-79,-1.723942274432872379e-69,3.994005976619344756e-31,4.336014451278124443e-14,1.828548399103187744e+12,4.380879378106220544e+18,2.880579128012676608e+18
5.705811623246492912e-04,-2.569874473483734065e-79,-1.680072191183641687e-69,3.956141452855074297e-31,4.283770262821607844e-14,1.811425321776540039e+12,4.350998366573800960e+18,2.861119254196083712e+18
5.721743486973947983e-04,-2.302285128108887802e-79,-1.637315957554261486e-69,3.918490255201605511e-31,4.232060357578917880e-14,1.794402960747447510e+12,4.321116184614198784e+18,2.841658485170526720e+18
5.737675350701403054e-04,-2.041059616639570820e-79,-1.595645223805025538e-69,3.881051015061047170e-31,4.180878425164280299e-14,1.777480367048624268e+12,4.291232840843630592e+18,2.822196827089199616e+18
5.753607214428858125e-04,-1.786110725030961466e-79,-1.555032359978295257e-69,3.843822357439394620e-31,4.130218217371887465e-14,1.760656597321297607e+12,4.261348343873092096e+18,2.802734286104734208e+18
5.769539078156313196e-04,-1.537352274531893603e-79,-1.515450437577279268e-69,3.806802901149185132e-31,4.080073547451224853e-14,1.743930713761811523e+12,4.231462702312830464e+18,2.783270868370522112e+18
5.785470941883768268e-04,-1.294699109335506756e-79,-1.476873211709960702e-69,3.769991259007960297e-31,4.030438289389375496e-14,1.727301784068869141e+12,4.201575924771105792e+18,2.763806580041741824e+18
5.801402805611222254e-04,-1.058067084350594513e-79,-1.439275103686316077e-69,3.733386038032652402e-31,3.981306377200186257e-14,1.710768881391092041e+12,4.171688019852190720e+18,2.744341427273402880e+18
5.817334669338677326e-04,-8.273730530921945477e-80,-1.402631184057275966e-69,3.696985839629858422e-31,3.932671804220174761e-14,1.694331084274701416e+12,4.141798996157787136e+18,2.724875416220960256e+18
5.833266533066132397e-04,-6.025348556903431094e-80,-1.366917156084217598e-69,3.660789259782223666e-31,3.884528622411201602e-14,1.677987476611720947e+12,4.111908862288850432e+18,2.705408553039790592e+18
5.849198396793587468e-04,-3.834713070153048223e-80,-1.332109339627984426e-69,3.624794889230805448e-31,3.836870941669729215e-14,1.661737147588010498e+12,4.082017626839842304e+18,2.685940843886782976e+18
5.865130260521042539e-04,-1.701021849182339362e-80,-1.298184655446777229e-69,3.589001313653588875e-31,3.789692929142612523e-14,1.645579191631600342e+12,4.052125298405865984e+18,2.666472294918018560e+18
5.881062124248497610e-04,3.765178141416223759e-81,-1.265120609892489337e-69,3.553407113840237523e-31,3.742988808549409360e-14,1.629512708362030273e+12,4.022231885578292224e+18,2.647002912290742784e+18
5.896993987975952681e-04,2.398689229922236725e-80,-1.232895279995356612e-69,3.518010865863018132e-31,3.696752859511036485e-14,1.613536802539926025e+12,3.992337396946024448e+18,2.627532702162489344e+18
5.912925851703406668e-04,4.366266424444836589e-80,-1.201487298927018279e-69,3.482811141244093748e-31,3.650979416884786985e-14,1.597650584016143799e+12,3.962441841095262208e+18,2.608061670692141056e+18
5.928857715430861739e-04,6.280014253287092052e-80,-1.170875841832328720e-69,3.447806507119075396e-31,3.605662870105552525e-14,1.581853167681997559e+12,3.932545226609964032e+18,2.588589824038474752e+18
5.944789579158316810e-04,8.140688513339042187e-80,-1.141040612020598883e-69,3.412995526397130940e-31,3.560797662533266880e-14,1.566143673418710693e+12,3.902647562071546368e+18,2.569117168359690240e+18
5.960721442885771881e-04,9.949036053747899827e-80,-1.111961827507006474e-69,3.378376757917405023e-31,3.516378290806404136e-14,1.550521226048276855e+12,3.872748856058925056e+18,2.549643709815206400e+18
5.976653306613226952e-04,1.170579488579810461e-79,-1.083620207895337482e-69,3.343948756602057503e-31,3.472399304201518293e-14,1.534984955283633789e+12,3.842849117147390976e+18,2.530169454564372992e+18
5.992585170340682024e-04,1.341169429173976550e-79,-1.055996961593315248e-69,3.309710073605831916e-31,3.428855303998767489e-14,1.519533995680284424e+12,3.812948353910980608e+18,2.510694408769074176e+18
6.008517034068136010e-04,1.506745493257725361e-79,-1.029073773352058253e-69,3.275659256462252949e-31,3.385740942853260016e-14,1.504167486586789551e+12,3.783046574921252864e+18,2.491218578589874688e+18
6.024448897795591082e-04,1.667378895483106808e-79,-1.002832792121389585e-69,3.241794849226491441e-31,3.343050924172275774e-14,1.488884572097008301e+12,3.753143788746885632e+18,2.471741970187559936e+18
6.040380761523046153e-04,1.823140009628306524e-79,-9.772566192129708645e-70,3.208115392614984512e-31,3.300780001498200968e-14,1.473684401001673340e+12,3.723240003954257920e+18,2.452264589722549248e+18
6.056312625250501224e-04,1.974098379071917962e-79,-9.523282967633734150e-70,3.174619424141789783e-31,3.258922977897148914e-14,1.458566126740582520e+12,3.693335229107932160e+18,2.432786443357311488e+18
6.072244488977956295e-04,2.120322727167992938e-79,-9.280312964894718959e-70,3.141305478251769601e-31,3.217474705353170403e-14,1.443528907354239014e+12,3.663429472768495104e+18,2.413307537255027200e+18
6.088176352705411366e-04,2.261880967523091268e-79,-9.043495087286885817e-70,3.108172086450671821e-31,3.176430084168025214e-14,1.428571905437383057e+12,3.633522743495257088e+18,2.393827877578762752e+18
6.104108216432866437e-04,2.398840214176492968e-79,-8.812672317568154412e-70,3.075217777432117227e-31,3.135784062366406863e-14,1.413694288090630859e+12,3.603615049844699136e+18,2.374347470491719168e+18
6.120040080160320424e-04,2.531266791684709196e-79,-8.587691613763453855e-70,3.042441077201539562e-31,3.095531635106599143e-14,1.398895226874216064e+12,3.573706400371215360e+18,2.354866322157315584e+18
6.135971943887775495e-04,2.659226245111477870e-79,-8.368403807683925678e-70,3.009840509197146053e-31,3.055667844096412968e-14,1.384173897761867188e+12,3.543796803626839040e+18,2.335384438738936320e+18
6.151903807615230566e-04,2.782783349924269272e-79,-8.154663506014944663e-70,2.977414594407972423e-31,3.016187777014482436e-14,1.369529481093453613e+12,3.513886268162897920e+18,2.315901826401907200e+18
6.167835671342685637e-04,2.902002121798569974e-79,-7.946328993907111238e-70,2.945161851488988177e-31,2.977086566936692267e-14,1.354961161529662354e+12,3.483974802526401536e+18,2.296418491311010816e+18
6.183767535070140708e-04,3.016945826330940146e-79,-7.743262141006421763e-70,2.913080796873380460e-31,2.938359391767786482e-14,1.340468128005604248e+12,3.454062415262134784e+18,2.276934439631825920e+18
6.199699398797595780e-04,3.127676988662022364e-79,-7.545328309861412323e-70,2.881169944882044506e-31,2.900001473678059869e-14,1.326049573685050781e+12,3.424149114913142784e+18,2.257449677529524736e+18
6.215631262525050851e-04,3.234257403010539860e-79,-7.352396266646232436e-70,2.849427807830283329e-31,2.862008078545041993e-14,1.311704695915174805e+12,3.394234910019731456e+18,2.237964211170823168e+18
6.231563126252504838e-04,3.336748142119424856e-79,-7.164338094140885444e-70,2.817852896131814277e-31,2.824374515400172173e-14,1.297432696181261719e+12,3.364319809120332800e+18,2.218478046722302976e+18
6.247494989979959909e-04,3.435209566615126311e-79,-6.981029106910383257e-70,2.786443718400066713e-31,2.787096135880306069e-14,1.283232780061873291e+12,3.334403820751927808e+18,2.198991190350849280e+18
6.263426853707414980e-04,3.529701334281143955e-79,-6.802347768627226959e-70,2.755198781546910934e-31,2.750168333684137196e-14,1.269104157183766113e+12,3.304486953447917056e+18,2.179503648224232448e+18
6.279358717434870051e-04,3.620282409246914024e-79,-6.628175611481757375e-70,2.724116590878706235e-31,2.713586544033328558e-14,1.255046041177880615e+12,3.274569215740401152e+18,2.160015426509497600e+18
6.295290581162325122e-04,3.707011071093019274e-79,-6.458397157627349298e-70,2.693195650189867355e-31,2.677346243138344012e-14,1.241057649635470947e+12,3.244650616158608896e+18,2.140526531374264064e+18
6.311222444889780193e-04,3.789944923873856485e-79,-6.292899842608218418e-70,2.662434461853886262e-31,2.641442947668982807e-14,1.227138204063495605e+12,3.214731163230714368e+18,2.121036968986898176e+18
6.327154308617235264e-04,3.869140905058693865e-79,-6.131573940719084728e-70,2.631831526911896841e-31,2.605872214229457663e-14,1.213286929840065674e+12,3.184810865483133952e+18,2.101546745516027392e+18
6.343086172344689251e-04,3.944655294392240189e-79,-5.974312492247148461e-70,2.601385345158800009e-31,2.570629638838031817e-14,1.199503056171789795e+12,3.154889731439129600e+18,2.082055867131647488e+18
6.359018036072144322e-04,4.016543722675688652e-79,-5.821011232548214162e-70,2.571094415226983858e-31,2.535710856411084434e-14,1.185785816050510742e+12,3.124967769619830784e+18,2.062564340002756608e+18
6.374949899799599393e-04,4.084861180469255383e-79,-5.671568522909941854e-70,2.540957234667732963e-31,2.501111540251662098e-14,1.172134446210006836e+12,3.095044988544742400e+18,2.043072170299528704e+18
6.390881763527054464e-04,4.149662026717228947e-79,-5.525885283156233836e-70,2.510972300030266431e-31,2.466827401542318884e-14,1.158548187082206787e+12,3.065121396731095040e+18,2.023579364192082176e+18
6.406813627254509536e-04,4.210999997296534586e-79,-5.383864925948267396e-70,2.481138106938521616e-31,2.432854188842289464e-14,1.145026282755404053e+12,3.035197002694573056e+18,2.004085927851182336e+18
6.422745490981964607e-04,4.268928213489752239e-79,-5.245413292738430786e-70,2.451453150165710200e-31,2.399187687588898100e-14,1.131567980931679199e+12,3.005271814947957248e+18,1.984591867447492352e+18
6.438677354709418594e-04,4.323499190383636427e-79,-5.110438591334877845e-70,2.421915923706629576e-31,2.365823719603154898e-14,1.118172532883847656e+12,2.975345842002360320e+18,1.965097189151861504e+18
6.454609218436873665e-04,4.374764845194062063e-79,-4.978851335035046602e-70,2.392524920847839873e-31,2.332758142599468659e-14,1.104839193414437500e+12,2.945419092367605248e+18,1.945601899136121600e+18
6.470541082164328736e-04,4.422776505518369368e-79,-4.850564283288139527e-70,2.363278634235696996e-31,2.299986849699479792e-14,1.091567220812881226e+12,2.915491574551526912e+18,1.926106003571962112e+18
