t(s),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),Total retention volume 1 (H m-2),Total solute volume 1 (H m-2),Total 1 volume 1 (H m-2),Recycling coefficient at surface 1 ()
0.0020696505671840668,-3.1020434605996927e+22,375.50426033753143,1.502486330661444e+18,3.5280398562418116e+16,1.467205932099026e+18,0.9851577541406628
0.0022776156239024737,-3.103883541087853e+22,375.62717766096654,1.578238322459174e+18,3.690885661874884e+16,1.5413294658404237e+18,0.9857421333036819
0.0025063771862927214,-3.105629954584778e+22,375.7560764687862,1.657569945848359e+18,3.86116828279327e+16,1.618958263020428e+18,0.9862967653777595
0.0027580149049219937,-3.1072882039723194e+22,375.89125096393997,1.7406614572552566e+18,4.039170463931711e+16,1.7002697526159378e+18,0.9868233979872587
0.0030348163954141932,-3.108863367703568e+22,376.03300974062046,1.8277014986627738e+18,4.225183318747704e+16,1.7854496654752978e+18,0.9873236439649797
0.0033392980349556127,-3.1103601455063456e+22,376.1816764991201,1.9188875327958845e+18,4.4195060727266024e+16,1.8746924720686188e+18,0.9877989958668344
0.0036742278384511743,-3.1117828977327314e+22,376.3375907962544,2.0144262957251827e+18,4.6224457613365096e+16,1.968201838111816e+18,0.9882508384686056
0.004042650622296292,-3.1131356793917e+22,376.50110883306087,2.1145342680334666e+18,4.834316874349673e+16,2.0661910992899702e+18,0.9886804595741508
0.004447915684525921,-3.1144222697104456e+22,376.672604281204,2.2194381656742244e+18,5.055440938644964e+16,2.168883756287774e+18,0.9890890594035903
0.004893707252978514,-3.1156461979131605e+22,376.8524691483345,2.3293754516782653e+18,5.286146031639707e+16,2.2765139913618688e+18,0.9894777587802208
0.005384077978276365,-3.1168107657802428e+22,377.0411146789651,2.4445948699501665e+18,5.5267662176721816e+16,2.3893272077734426e+18,0.9898476062949482
0.005923485776104002,-3.117919067450992e+22,377.23897227768066,2.5653570025481175e+18,5.777640900432418e+16,2.507580593543792e+18,0.9901995845952956
0.006516834353714403,-3.1189740068557963e+22,377.44649441924497,2.6919348520568576e+18,6.039114086821164e+16,2.631543711188646e+18,0.9905346159215783
